Group,Continent,Name,Acronym,System,Climate,Animal_class,GLEAM_module,Intervention,Baseline,Scenario_lower,Scenario_lower.1,Notes
High potential,CENTRAL-AMERICA,Caribbean,CAR,Specialised beef,Humid,Herd,Feed,Increase average Digestible Energy (%),NA,NA,NA,DE scenario is 1-3% improvement per pixel
High potential,CENTRAL-AMERICA,Caribbean,CAR,Specialised beef,Humid,Milk cows,Herd,Reduce age at first calving,NA,NA,NA,Assumed 1% increase in digestibility will result in 4% decrease in age at first calving
High potential,CENTRAL-AMERICA,Caribbean,CAR,Specialised beef,Humid,Herd,Herd,Increased fertility rate (%),NA,NA,NA,
High potential,CENTRAL-AMERICA,Caribbean,CAR,Specialised beef,Humid,Female calves,Herd,Mortality rate (%),NA,NA,NA,
High potential,CENTRAL-AMERICA,Caribbean,CAR,Specialised beef,Humid,Male calves,Herd,Mortality rate (%),NA,NA,NA,
High potential,CENTRAL-AMERICA,Caribbean,CAR,Specialised beef,Humid,Non-calf,Herd,Mortality rate (%),NA,NA,NA,
High potential,CENTRAL-AMERICA,Caribbean,CAR,Specialised beef,Humid,Herd,Manure,Adoption of anaerobic digesters (%),NA,NA,NA,
High potential,CENTRAL-AMERICA,Caribbean,CAR,Specialised beef,Temperate,Herd,Feed,Increase average Digestible Energy (%),NA,NA,NA,DE scenario is 1-3% improvement per pixel
High potential,CENTRAL-AMERICA,Caribbean,CAR,Specialised beef,Temperate,Milk cows,Herd,Reduce age at first calving,NA,NA,NA,Assumed 1% increase in digestibility will result in 4% decrease in age at first calving
High potential,CENTRAL-AMERICA,Caribbean,CAR,Specialised beef,Temperate,Herd,Herd,Increased fertility rate (%),NA,NA,NA,
High potential,CENTRAL-AMERICA,Caribbean,CAR,Specialised beef,Temperate,Female calves,Herd,Mortality rate (%),NA,NA,NA,
High potential,CENTRAL-AMERICA,Caribbean,CAR,Specialised beef,Temperate,Male calves,Herd,Mortality rate (%),NA,NA,NA,
High potential,CENTRAL-AMERICA,Caribbean,CAR,Specialised beef,Temperate,Non-calf,Herd,Mortality rate (%),NA,NA,NA,
High potential,CENTRAL-AMERICA,Caribbean,CAR,Specialised beef,Temperate,Herd,Manure,Adoption of anaerobic digesters (%),NA,NA,NA,
High potential,CENTRAL-AMERICA,Caribbean,CAR,Sheep,Arid,Herd,Feed,Increase average Digestible Energy (%),NA,NA,NA,DE scenario is 1-3% improvement per pixel
High potential,CENTRAL-AMERICA,Caribbean,CAR,Sheep,Arid,Sheep,Herd,Reduce age at first lambing,NA,NA,NA,Assumed 1% increase in digestibility will result in 4% decrease in age at first calving
High potential,CENTRAL-AMERICA,Caribbean,CAR,Sheep,Arid,Sheep,Herd,Increased fertility rate (%),NA,NA,NA,
High potential,CENTRAL-AMERICA,Caribbean,CAR,Sheep,Arid,Female lambs,Herd,Mortality rate (%),NA,NA,NA,
High potential,CENTRAL-AMERICA,Caribbean,CAR,Sheep,Arid,Male lambs,Herd,Mortality rate (%),NA,NA,NA,
High potential,CENTRAL-AMERICA,Caribbean,CAR,Sheep,Arid,Non-lamb,Herd,Mortality rate (%),NA,NA,NA,
High potential,CENTRAL-AMERICA,Caribbean,CAR,Sheep,Humid,Herd,Feed,Increase average Digestible Energy (%),NA,NA,NA,DE scenario is 1-3% improvement per pixel
High potential,CENTRAL-AMERICA,Caribbean,CAR,Sheep,Humid,Sheep,Herd,Reduce age at first lambing,NA,NA,NA,Assumed 1% increase in digestibility will result in 4% decrease in age at first calving
High potential,CENTRAL-AMERICA,Caribbean,CAR,Sheep,Humid,Sheep,Herd,Increased fertility rate (%),NA,NA,NA,
High potential,CENTRAL-AMERICA,Caribbean,CAR,Sheep,Humid,Female lambs,Herd,Mortality rate (%),NA,NA,NA,
High potential,CENTRAL-AMERICA,Caribbean,CAR,Sheep,Humid,Male lambs,Herd,Mortality rate (%),NA,NA,NA,
High potential,CENTRAL-AMERICA,Caribbean,CAR,Sheep,Humid,Non-lamb,Herd,Mortality rate (%),NA,NA,NA,
High potential,CENTRAL-AMERICA,Caribbean,CAR,Sheep,Temperate,Herd,Feed,Increase average Digestible Energy (%),NA,NA,NA,
High potential,CENTRAL-AMERICA,Caribbean,CAR,Sheep,Temperate,Sheep,Herd,Reduce age at first lambing,NA,NA,NA,
High potential,CENTRAL-AMERICA,Caribbean,CAR,Sheep,Temperate,Sheep,Herd,Increased fertility rate (%),NA,NA,NA,
High potential,CENTRAL-AMERICA,Caribbean,CAR,Sheep,Temperate,Female lambs,Herd,Mortality rate (%),NA,NA,NA,
High potential,CENTRAL-AMERICA,Caribbean,CAR,Sheep,Temperate,Male lambs,Herd,Mortality rate (%),NA,NA,NA,
High potential,CENTRAL-AMERICA,Caribbean,CAR,Sheep,Temperate,Non-lamb,Herd,Mortality rate (%),NA,NA,NA,
High potential,CENTRAL-AMERICA,Caribbean,CAR,Goats,Arid,Herd,Feed,Increase average Digestible Energy (%),NA,NA,NA,
High potential,CENTRAL-AMERICA,Caribbean,CAR,Goats,Arid,Does,Herd,Reduce age at first lambing,NA,NA,NA,
High potential,CENTRAL-AMERICA,Caribbean,CAR,Goats,Arid,Does,Herd,Increased fertility rate (%),NA,NA,NA,
High potential,CENTRAL-AMERICA,Caribbean,CAR,Goats,Arid,Female kids,Herd,Mortality rate (%),NA,NA,NA,
