"","Group","Continent","Name","Acronym","System","Climate","Animal_class","GLEAM_module","Intervention","Baseline","Scenario_lower","Scenario_lower.1","Notes"
"14","Low potential","NORTH-AMERICA","N.W.North-America","NWN","Specialised beef","Arid","Herd","Manure","Adoption of anaerobic digesters (%)",NA,NA,NA,NA
"15","Low potential","NORTH-AMERICA","N.W.North-America","NWN","Specialised beef","Humid","Herd","System","Reduced embodied feed emissions",NA,NA,NA,NA
"16","Low potential","NORTH-AMERICA","N.W.North-America","NWN","Specialised beef","Humid","Herd","Manure","Adoption of anaerobic digesters (%)",NA,NA,NA,NA
"17","Low potential","NORTH-AMERICA","N.W.North-America","NWN","Specialised beef","Temperate","Herd","System","Reduced embodied feed emissions",NA,NA,NA,NA
"18","Low potential","NORTH-AMERICA","N.W.North-America","NWN","Specialised beef","Temperate","Herd","Manure","Adoption of anaerobic digesters (%)",NA,NA,NA,NA
"19","Low potential","NORTH-AMERICA","N.W.North-America","NWN","Sheep","Arid","Herd","System","Reduced embodied feed emissions",NA,NA,NA,NA
"20","Low potential","NORTH-AMERICA","N.W.North-America","NWN","Sheep","Humid","Herd","System","Reduced embodied feed emissions",NA,NA,NA,NA
"21","Low potential","NORTH-AMERICA","N.W.North-America","NWN","Sheep","Temperate","Herd","System","Reduced embodied feed emissions",NA,NA,NA,NA
"22","Low potential","NORTH-AMERICA","N.W.North-America","NWN","Goats","Arid","Herd","System","Reduced embodied feed emissions",NA,NA,NA,NA
"23","Low potential","NORTH-AMERICA","N.W.North-America","NWN","Goats","Humid","Herd","System","Reduced embodied feed emissions",NA,NA,NA,NA
"24","Low potential","NORTH-AMERICA","N.W.North-America","NWN","Goats","Temperate","Herd","System","Reduced embodied feed emissions",NA,NA,NA,NA
"25","Low potential","NORTH-AMERICA","N.W.North-America","NWN","Pigs","Arid","Herd","System","Reduced embodied feed emissions",NA,NA,NA,NA
"26","Low potential","NORTH-AMERICA","N.W.North-America","NWN","Pigs","Arid","Herd","Manure","Adoption of anaerobic digesters (%)",NA,NA,NA,NA
"27","Low potential","NORTH-AMERICA","N.W.North-America","NWN","Pigs","Humid","Herd","System","Reduced embodied feed emissions",NA,NA,NA,NA
"28","Low potential","NORTH-AMERICA","N.W.North-America","NWN","Pigs","Humid","Herd","Manure","Adoption of anaerobic digesters (%)",NA,NA,NA,NA
"29","Low potential","NORTH-AMERICA","N.W.North-America","NWN","Pigs","Temperate","Herd","System","Reduced embodied feed emissions",NA,NA,NA,NA
"30","Low potential","NORTH-AMERICA","N.W.North-America","NWN","Pigs","Temperate","Herd","Manure","Adoption of anaerobic digesters (%)",NA,NA,NA,NA
"31","Low potential","NORTH-AMERICA","N.E.North-America","NEN","Mixed dairy","Arid","Herd","System","Reduced embodied feed emissions",NA,NA,NA,NA
"32","Low potential","NORTH-AMERICA","N.E.North-America","NEN","Mixed dairy","Arid","Herd","Manure","Adoption of anaerobic digesters (%)",NA,NA,NA,NA
"33","Low potential","NORTH-AMERICA","N.E.North-America","NEN","Mixed dairy","Humid","Herd","System","Reduced embodied feed emissions",NA,NA,NA,NA
"34","Low potential","NORTH-AMERICA","N.E.North-America","NEN","Mixed dairy","Humid","Herd","Manure","Adoption of anaerobic digesters (%)",NA,NA,NA,NA
"35","Low potential","NORTH-AMERICA","N.E.North-America","NEN","Mixed dairy","Temperate","Herd","System","Reduced embodied feed emissions",NA,NA,NA,NA
"36","Low potential","NORTH-AMERICA","N.E.North-America","NEN","Mixed dairy","Temperate","Herd","Manure","Adoption of anaerobic digesters (%)",NA,NA,NA,NA
"37","Low potential","NORTH-AMERICA","N.E.North-America","NEN","Specialised dairy","Arid","Herd","System","Reduced embodied feed emissions",NA,NA,NA,NA
"38","Low potential","NORTH-AMERICA","N.E.North-America","NEN","Specialised dairy","Arid","Herd","Manure","Adoption of anaerobic digesters (%)",NA,NA,NA,NA
"39","Low potential","NORTH-AMERICA","N.E.North-America","NEN","Specialised dairy","Humid","Herd","System","Reduced embodied feed emissions",NA,NA,NA,NA
"40","Low potential","NORTH-AMERICA","N.E.North-America","NEN","Specialised dairy","Humid","Herd","Manure","Adoption of anaerobic digesters (%)",NA,NA,NA,NA
"41","Low potential","NORTH-AMERICA","N.E.North-America","NEN","Specialised dairy","Temperate","Herd","System","Reduced embodied feed emissions",NA,NA,NA,NA
"42","Low potential","NORTH-AMERICA","N.E.North-America","NEN","Specialised dairy","Temperate","Herd","Manure","Adoption of anaerobic digesters (%)",NA,NA,NA,NA
"43","Low potential","NORTH-AMERICA","N.E.North-America","NEN","Specialised beef","Arid","Herd","System","Reduced embodied feed emissions",NA,NA,NA,NA
"44","Low potential","NORTH-AMERICA","N.E.North-America","NEN","Specialised beef","Arid","Herd","Manure","Adoption of anaerobic digesters (%)",NA,NA,NA,NA
"45","Low potential","NORTH-AMERICA","N.E.North-America","NEN","Specialised beef","Humid","Herd","System","Reduced embodied feed emissions",NA,NA,NA,NA
"46","Low potential","NORTH-AMERICA","N.E.North-America","NEN","Specialised beef","Humid","Herd","Manure","Adoption of anaerobic digesters (%)",NA,NA,NA,NA
"47","Low potential","NORTH-AMERICA","N.E.North-America","NEN","Specialised beef","Temperate","Herd","System","Reduced embodied feed emissions",NA,NA,NA,NA
"48","Low potential","NORTH-AMERICA","N.E.North-America","NEN","Specialised beef","Temperate","Herd","Manure","Adoption of anaerobic digesters (%)",NA,NA,NA,NA
"49","Low potential","NORTH-AMERICA","N.E.North-America","NEN","Sheep","Arid","Herd","System","Reduced embodied feed emissions",NA,NA,NA,NA
"50","Low potential","NORTH-AMERICA","N.E.North-America","NEN","Sheep","Humid","Herd","System","Reduced embodied feed emissions",NA,NA,NA,NA
"51","Low potential","NORTH-AMERICA","N.E.North-America","NEN","Sheep","Temperate","Herd","System","Reduced embodied feed emissions",NA,NA,NA,NA
"52","Low potential","NORTH-AMERICA","N.E.North-America","NEN","Goats","Arid","Herd","System","Reduced embodied feed emissions",NA,NA,NA,NA
"53","Low potential","NORTH-AMERICA","N.E.North-America","NEN","Goats","Humid","Herd","System","Reduced embodied feed emissions",NA,NA,NA,NA
"54","Low potential","NORTH-AMERICA","N.E.North-America","NEN","Goats","Temperate","Herd","System","Reduced embodied feed emissions",NA,NA,NA,NA
"55","Low potential","NORTH-AMERICA","N.E.North-America","NEN","Pigs","Arid","Herd","System","Reduced embodied feed emissions",NA,NA,NA,NA
"56","Low potential","NORTH-AMERICA","N.E.North-America","NEN","Pigs","Arid","Herd","Manure","Adoption of anaerobic digesters (%)",NA,NA,NA,NA
"57","Low potential","NORTH-AMERICA","N.E.North-America","NEN","Pigs","Humid","Herd","System","Reduced embodied feed emissions",NA,NA,NA,NA
"58","Low potential","NORTH-AMERICA","N.E.North-America","NEN","Pigs","Humid","Herd","Manure","Adoption of anaerobic digesters (%)",NA,NA,NA,NA
"59","Low potential","NORTH-AMERICA","N.E.North-America","NEN","Pigs","Temperate","Herd","System","Reduced embodied feed emissions",NA,NA,NA,NA
"60","Low potential","NORTH-AMERICA","N.E.North-America","NEN","Pigs","Temperate","Herd","Manure","Adoption of anaerobic digesters (%)",NA,NA,NA,NA
"61","Low potential","NORTH-AMERICA","W.North-America","WNA","Mixed dairy","Arid","Herd","System","Reduced embodied feed emissions",NA,NA,NA,NA
"62","Low potential","NORTH-AMERICA","W.North-America","WNA","Mixed dairy","Arid","Herd","Manure","Adoption of anaerobic digesters (%)",NA,NA,NA,NA
"63","Low potential","NORTH-AMERICA","W.North-America","WNA","Mixed dairy","Humid","Herd","System","Reduced embodied feed emissions",NA,NA,NA,NA
"64","Low potential","NORTH-AMERICA","W.North-America","WNA","Mixed dairy","Humid","Herd","Manure","Adoption of anaerobic digesters (%)",NA,NA,NA,NA
"65","Low potential","NORTH-AMERICA","W.North-America","WNA","Mixed dairy","Temperate","Herd","System","Reduced embodied feed emissions",NA,NA,NA,NA
"66","Low potential","NORTH-AMERICA","W.North-America","WNA","Mixed dairy","Temperate","Herd","Manure","Adoption of anaerobic digesters (%)",NA,NA,NA,NA
"67","Low potential","NORTH-AMERICA","W.North-America","WNA","Specialised dairy","Arid","Herd","System","Reduced embodied feed emissions",NA,NA,NA,NA
"68","Low potential","NORTH-AMERICA","W.North-America","WNA","Specialised dairy","Arid","Herd","Manure","Adoption of anaerobic digesters (%)",NA,NA,NA,NA
"69","Low potential","NORTH-AMERICA","W.North-America","WNA","Specialised dairy","Humid","Herd","System","Reduced embodied feed emissions",NA,NA,NA,NA
"70","Low potential","NORTH-AMERICA","W.North-America","WNA","Specialised dairy","Humid","Herd","Manure","Adoption of anaerobic digesters (%)",NA,NA,NA,NA
"71","Low potential","NORTH-AMERICA","W.North-America","WNA","Specialised dairy","Temperate","Herd","System","Reduced embodied feed emissions",NA,NA,NA,NA
"72","Low potential","NORTH-AMERICA","W.North-America","WNA","Specialised dairy","Temperate","Herd","Manure","Adoption of anaerobic digesters (%)",NA,NA,NA,NA
"73","Low potential","NORTH-AMERICA","W.North-America","WNA","Specialised beef","Arid","Herd","System","Reduced embodied feed emissions",NA,NA,NA,NA
"74","Low potential","NORTH-AMERICA","W.North-America","WNA","Specialised beef","Arid","Herd","Manure","Adoption of anaerobic digesters (%)",NA,NA,NA,NA
"75","Low potential","NORTH-AMERICA","W.North-America","WNA","Specialised beef","Humid","Herd","System","Reduced embodied feed emissions",NA,NA,NA,NA
"76","Low potential","NORTH-AMERICA","W.North-America","WNA","Specialised beef","Humid","Herd","Manure","Adoption of anaerobic digesters (%)",NA,NA,NA,NA
"77","Low potential","NORTH-AMERICA","W.North-America","WNA","Specialised beef","Temperate","Herd","System","Reduced embodied feed emissions",NA,NA,NA,NA
"78","Low potential","NORTH-AMERICA","W.North-America","WNA","Specialised beef","Temperate","Herd","Manure","Adoption of anaerobic digesters (%)",NA,NA,NA,NA
"79","Low potential","NORTH-AMERICA","W.North-America","WNA","Sheep","Arid","Herd","System","Reduced embodied feed emissions",NA,NA,NA,NA
"80","Low potential","NORTH-AMERICA","W.North-America","WNA","Sheep","Humid","Herd","System","Reduced embodied feed emissions",NA,NA,NA,NA
"81","Low potential","NORTH-AMERICA","W.North-America","WNA","Sheep","Temperate","Herd","System","Reduced embodied feed emissions",NA,NA,NA,NA
"82","Low potential","NORTH-AMERICA","W.North-America","WNA","Goats","Arid","Herd","System","Reduced embodied feed emissions",NA,NA,NA,NA
"83","Low potential","NORTH-AMERICA","W.North-America","WNA","Goats","Humid","Herd","System","Reduced embodied feed emissions",NA,NA,NA,NA
"84","Low potential","NORTH-AMERICA","W.North-America","WNA","Goats","Temperate","Herd","System","Reduced embodied feed emissions",NA,NA,NA,NA
"85","Low potential","NORTH-AMERICA","W.North-America","WNA","Pigs","Arid","Herd","System","Reduced embodied feed emissions",NA,NA,NA,NA
"86","Low potential","NORTH-AMERICA","W.North-America","WNA","Pigs","Arid","Herd","Manure","Adoption of anaerobic digesters (%)",NA,NA,NA,NA
"87","Low potential","NORTH-AMERICA","W.North-America","WNA","Pigs","Humid","Herd","System","Reduced embodied feed emissions",NA,NA,NA,NA
"88","Low potential","NORTH-AMERICA","W.North-America","WNA","Pigs","Humid","Herd","Manure","Adoption of anaerobic digesters (%)",NA,NA,NA,NA
"89","Low potential","NORTH-AMERICA","W.North-America","WNA","Pigs","Temperate","Herd","System","Reduced embodied feed emissions",NA,NA,NA,NA
"90","Low potential","NORTH-AMERICA","W.North-America","WNA","Pigs","Temperate","Herd","Manure","Adoption of anaerobic digesters (%)",NA,NA,NA,NA
"91","Low potential","NORTH-AMERICA","C.North-America","CNA","Mixed dairy","Arid","Herd","System","Reduced embodied feed emissions",NA,NA,NA,NA
"92","Low potential","NORTH-AMERICA","C.North-America","CNA","Mixed dairy","Arid","Herd","Manure","Adoption of anaerobic digesters (%)",NA,NA,NA,NA
"93","Low potential","NORTH-AMERICA","C.North-America","CNA","Mixed dairy","Humid","Herd","System","Reduced embodied feed emissions",NA,NA,NA,NA
"94","Low potential","NORTH-AMERICA","C.North-America","CNA","Mixed dairy","Humid","Herd","Manure","Adoption of anaerobic digesters (%)",NA,NA,NA,NA
"95","Low potential","NORTH-AMERICA","C.North-America","CNA","Mixed dairy","Temperate","Herd","System","Reduced embodied feed emissions",NA,NA,NA,NA
"96","Low potential","NORTH-AMERICA","C.North-America","CNA","Mixed dairy","Temperate","Herd","Manure","Adoption of anaerobic digesters (%)",NA,NA,NA,NA
"97","Low potential","NORTH-AMERICA","C.North-America","CNA","Specialised dairy","Arid","Herd","System","Reduced embodied feed emissions",NA,NA,NA,NA
"98","Low potential","NORTH-AMERICA","C.North-America","CNA","Specialised dairy","Arid","Herd","Manure","Adoption of anaerobic digesters (%)",NA,NA,NA,NA
"99","Low potential","NORTH-AMERICA","C.North-America","CNA","Specialised dairy","Humid","Herd","System","Reduced embodied feed emissions",NA,NA,NA,NA
"100","Low potential","NORTH-AMERICA","C.North-America","CNA","Specialised dairy","Humid","Herd","Manure","Adoption of anaerobic digesters (%)",NA,NA,NA,NA
"101","Low potential","NORTH-AMERICA","C.North-America","CNA","Specialised dairy","Temperate","Herd","System","Reduced embodied feed emissions",NA,NA,NA,NA
"102","Low potential","NORTH-AMERICA","C.North-America","CNA","Specialised dairy","Temperate","Herd","Manure","Adoption of anaerobic digesters (%)",NA,NA,NA,NA
"103","Low potential","NORTH-AMERICA","C.North-America","CNA","Specialised beef","Arid","Herd","System","Reduced embodied feed emissions",NA,NA,NA,NA
"104","Low potential","NORTH-AMERICA","C.North-America","CNA","Specialised beef","Arid","Herd","Manure","Adoption of anaerobic digesters (%)",NA,NA,NA,NA
"105","Low potential","NORTH-AMERICA","C.North-America","CNA","Specialised beef","Humid","Herd","System","Reduced embodied feed emissions",NA,NA,NA,NA
"106","Low potential","NORTH-AMERICA","C.North-America","CNA","Specialised beef","Humid","Herd","Manure","Adoption of anaerobic digesters (%)",NA,NA,NA,NA
"107","Low potential","NORTH-AMERICA","C.North-America","CNA","Specialised beef","Temperate","Herd","System","Reduced embodied feed emissions",NA,NA,NA,NA
"108","Low potential","NORTH-AMERICA","C.North-America","CNA","Specialised beef","Temperate","Herd","Manure","Adoption of anaerobic digesters (%)",NA,NA,NA,NA
"109","Low potential","NORTH-AMERICA","C.North-America","CNA","Sheep","Arid","Herd","System","Reduced embodied feed emissions",NA,NA,NA,NA
"110","Low potential","NORTH-AMERICA","C.North-America","CNA","Sheep","Humid","Herd","System","Reduced embodied feed emissions",NA,NA,NA,NA
"111","Low potential","NORTH-AMERICA","C.North-America","CNA","Sheep","Temperate","Herd","System","Reduced embodied feed emissions",NA,NA,NA,NA
"112","Low potential","NORTH-AMERICA","C.North-America","CNA","Goats","Arid","Herd","System","Reduced embodied feed emissions",NA,NA,NA,NA
"113","Low potential","NORTH-AMERICA","C.North-America","CNA","Goats","Humid","Herd","System","Reduced embodied feed emissions",NA,NA,NA,NA
"114","Low potential","NORTH-AMERICA","C.North-America","CNA","Goats","Temperate","Herd","System","Reduced embodied feed emissions",NA,NA,NA,NA
"115","Low potential","NORTH-AMERICA","C.North-America","CNA","Pigs","Arid","Herd","System","Reduced embodied feed emissions",NA,NA,NA,NA
"116","Low potential","NORTH-AMERICA","C.North-America","CNA","Pigs","Arid","Herd","Manure","Adoption of anaerobic digesters (%)",NA,NA,NA,NA
"117","Low potential","NORTH-AMERICA","C.North-America","CNA","Pigs","Humid","Herd","System","Reduced embodied feed emissions",NA,NA,NA,NA
"118","Low potential","NORTH-AMERICA","C.North-America","CNA","Pigs","Humid","Herd","Manure","Adoption of anaerobic digesters (%)",NA,NA,NA,NA
"119","Low potential","NORTH-AMERICA","C.North-America","CNA","Pigs","Temperate","Herd","System","Reduced embodied feed emissions",NA,NA,NA,NA
"120","Low potential","NORTH-AMERICA","C.North-America","CNA","Pigs","Temperate","Herd","Manure","Adoption of anaerobic digesters (%)",NA,NA,NA,NA
"121","Low potential","NORTH-AMERICA","E.North-America","ENA","Mixed dairy","Arid","Herd","System","Reduced embodied feed emissions",NA,NA,NA,NA
"122","Low potential","NORTH-AMERICA","E.North-America","ENA","Mixed dairy","Arid","Herd","Manure","Adoption of anaerobic digesters (%)",NA,NA,NA,NA
"123","Low potential","NORTH-AMERICA","E.North-America","ENA","Mixed dairy","Humid","Herd","System","Reduced embodied feed emissions",NA,NA,NA,NA
"124","Low potential","NORTH-AMERICA","E.North-America","ENA","Mixed dairy","Humid","Herd","Manure","Adoption of anaerobic digesters (%)",NA,NA,NA,NA
"125","Low potential","NORTH-AMERICA","E.North-America","ENA","Mixed dairy","Temperate","Herd","System","Reduced embodied feed emissions",NA,NA,NA,NA
"126","Low potential","NORTH-AMERICA","E.North-America","ENA","Mixed dairy","Temperate","Herd","Manure","Adoption of anaerobic digesters (%)",NA,NA,NA,NA
"127","Low potential","NORTH-AMERICA","E.North-America","ENA","Specialised dairy","Arid","Herd","System","Reduced embodied feed emissions",NA,NA,NA,NA
"128","Low potential","NORTH-AMERICA","E.North-America","ENA","Specialised dairy","Arid","Herd","Manure","Adoption of anaerobic digesters (%)",NA,NA,NA,NA
"129","Low potential","NORTH-AMERICA","E.North-America","ENA","Specialised dairy","Humid","Herd","System","Reduced embodied feed emissions",NA,NA,NA,NA
"130","Low potential","NORTH-AMERICA","E.North-America","ENA","Specialised dairy","Humid","Herd","Manure","Adoption of anaerobic digesters (%)",NA,NA,NA,NA
"131","Low potential","NORTH-AMERICA","E.North-America","ENA","Specialised dairy","Temperate","Herd","System","Reduced embodied feed emissions",NA,NA,NA,NA
"132","Low potential","NORTH-AMERICA","E.North-America","ENA","Specialised dairy","Temperate","Herd","Manure","Adoption of anaerobic digesters (%)",NA,NA,NA,NA
"133","Low potential","NORTH-AMERICA","E.North-America","ENA","Specialised beef","Arid","Herd","System","Reduced embodied feed emissions",NA,NA,NA,NA
"134","Low potential","NORTH-AMERICA","E.North-America","ENA","Specialised beef","Arid","Herd","Manure","Adoption of anaerobic digesters (%)",NA,NA,NA,NA
"135","Low potential","NORTH-AMERICA","E.North-America","ENA","Specialised beef","Humid","Herd","System","Reduced embodied feed emissions",NA,NA,NA,NA
"136","Low potential","NORTH-AMERICA","E.North-America","ENA","Specialised beef","Humid","Herd","Manure","Adoption of anaerobic digesters (%)",NA,NA,NA,NA
"137","Low potential","NORTH-AMERICA","E.North-America","ENA","Specialised beef","Temperate","Herd","System","Reduced embodied feed emissions",NA,NA,NA,NA
"138","Low potential","NORTH-AMERICA","E.North-America","ENA","Specialised beef","Temperate","Herd","Manure","Adoption of anaerobic digesters (%)",NA,NA,NA,NA
"139","Low potential","NORTH-AMERICA","E.North-America","ENA","Sheep","Arid","Herd","System","Reduced embodied feed emissions",NA,NA,NA,NA
"140","Low potential","NORTH-AMERICA","E.North-America","ENA","Sheep","Humid","Herd","System","Reduced embodied feed emissions",NA,NA,NA,NA
"141","Low potential","NORTH-AMERICA","E.North-America","ENA","Sheep","Temperate","Herd","System","Reduced embodied feed emissions",NA,NA,NA,NA
"142","Low potential","NORTH-AMERICA","E.North-America","ENA","Goats","Arid","Herd","System","Reduced embodied feed emissions",NA,NA,NA,NA
"143","Low potential","NORTH-AMERICA","E.North-America","ENA","Goats","Humid","Herd","System","Reduced embodied feed emissions",NA,NA,NA,NA
"144","Low potential","NORTH-AMERICA","E.North-America","ENA","Goats","Temperate","Herd","System","Reduced embodied feed emissions",NA,NA,NA,NA
"145","Low potential","NORTH-AMERICA","E.North-America","ENA","Pigs","Arid","Herd","System","Reduced embodied feed emissions",NA,NA,NA,NA
"146","Low potential","NORTH-AMERICA","E.North-America","ENA","Pigs","Arid","Herd","Manure","Adoption of anaerobic digesters (%)",NA,NA,NA,NA
"147","Low potential","NORTH-AMERICA","E.North-America","ENA","Pigs","Humid","Herd","System","Reduced embodied feed emissions",NA,NA,NA,NA
"148","Low potential","NORTH-AMERICA","E.North-America","ENA","Pigs","Humid","Herd","Manure","Adoption of anaerobic digesters (%)",NA,NA,NA,NA
"149","Low potential","NORTH-AMERICA","E.North-America","ENA","Pigs","Temperate","Herd","System","Reduced embodied feed emissions",NA,NA,NA,NA
"150","Low potential","NORTH-AMERICA","E.North-America","ENA","Pigs","Temperate","Herd","Manure","Adoption of anaerobic digesters (%)",NA,NA,NA,NA
"151","Low potential","CENTRAL-AMERICA","N.Central-America","NCA","Mixed dairy","Arid","Herd","System","Reduced embodied feed emissions",NA,NA,NA,NA
"152","Low potential","CENTRAL-AMERICA","N.Central-America","NCA","Mixed dairy","Arid","Herd","Manure","Adoption of anaerobic digesters (%)",NA,NA,NA,NA
"153","Low potential","CENTRAL-AMERICA","N.Central-America","NCA","Mixed dairy","Humid","Herd","System","Reduced embodied feed emissions",NA,NA,NA,NA
"154","Low potential","CENTRAL-AMERICA","N.Central-America","NCA","Mixed dairy","Humid","Herd","Manure","Adoption of anaerobic digesters (%)",NA,NA,NA,NA
"155","Low potential","CENTRAL-AMERICA","N.Central-America","NCA","Mixed dairy","Temperate","Herd","System","Reduced embodied feed emissions",NA,NA,NA,NA
"156","Low potential","CENTRAL-AMERICA","N.Central-America","NCA","Mixed dairy","Temperate","Herd","Manure","Adoption of anaerobic digesters (%)",NA,NA,NA,NA
"157","Low potential","CENTRAL-AMERICA","N.Central-America","NCA","Specialised dairy","Arid","Herd","System","Reduced embodied feed emissions",NA,NA,NA,NA
"158","Low potential","CENTRAL-AMERICA","N.Central-America","NCA","Specialised dairy","Arid","Herd","Manure","Adoption of anaerobic digesters (%)",NA,NA,NA,NA
"159","Low potential","CENTRAL-AMERICA","N.Central-America","NCA","Specialised dairy","Humid","Herd","System","Reduced embodied feed emissions",NA,NA,NA,NA
"160","Low potential","CENTRAL-AMERICA","N.Central-America","NCA","Specialised dairy","Humid","Herd","Manure","Adoption of anaerobic digesters (%)",NA,NA,NA,NA
"161","Low potential","CENTRAL-AMERICA","N.Central-America","NCA","Specialised dairy","Temperate","Herd","System","Reduced embodied feed emissions",NA,NA,NA,NA
"162","Low potential","CENTRAL-AMERICA","N.Central-America","NCA","Specialised dairy","Temperate","Herd","Manure","Adoption of anaerobic digesters (%)",NA,NA,NA,NA
"163","Low potential","CENTRAL-AMERICA","N.Central-America","NCA","Specialised beef","Arid","Herd","System","Reduced embodied feed emissions",NA,NA,NA,NA
"164","Low potential","CENTRAL-AMERICA","N.Central-America","NCA","Specialised beef","Arid","Herd","Manure","Adoption of anaerobic digesters (%)",NA,NA,NA,NA
"165","Low potential","CENTRAL-AMERICA","N.Central-America","NCA","Specialised beef","Humid","Herd","System","Reduced embodied feed emissions",NA,NA,NA,NA
"166","Low potential","CENTRAL-AMERICA","N.Central-America","NCA","Specialised beef","Humid","Herd","Manure","Adoption of anaerobic digesters (%)",NA,NA,NA,NA
"167","Low potential","CENTRAL-AMERICA","N.Central-America","NCA","Specialised beef","Temperate","Herd","System","Reduced embodied feed emissions",NA,NA,NA,NA
"168","Low potential","CENTRAL-AMERICA","N.Central-America","NCA","Specialised beef","Temperate","Herd","Manure","Adoption of anaerobic digesters (%)",NA,NA,NA,NA
"169","Low potential","CENTRAL-AMERICA","N.Central-America","NCA","Sheep","Arid","Herd","System","Reduced embodied feed emissions",NA,NA,NA,NA
"170","Low potential","CENTRAL-AMERICA","N.Central-America","NCA","Sheep","Humid","Herd","System","Reduced embodied feed emissions",NA,NA,NA,NA
"171","Low potential","CENTRAL-AMERICA","N.Central-America","NCA","Sheep","Temperate","Herd","System","Reduced embodied feed emissions",NA,NA,NA,NA
"172","Low potential","CENTRAL-AMERICA","N.Central-America","NCA","Goats","Arid","Herd","System","Reduced embodied feed emissions",NA,NA,NA,NA
"173","Low potential","CENTRAL-AMERICA","N.Central-America","NCA","Goats","Humid","Herd","System","Reduced embodied feed emissions",NA,NA,NA,NA
"174","Low potential","CENTRAL-AMERICA","N.Central-America","NCA","Goats","Temperate","Herd","System","Reduced embodied feed emissions",NA,NA,NA,NA
"175","Low potential","CENTRAL-AMERICA","N.Central-America","NCA","Pigs","Arid","Herd","System","Reduced embodied feed emissions",NA,NA,NA,NA
"176","Low potential","CENTRAL-AMERICA","N.Central-America","NCA","Pigs","Arid","Herd","Manure","Adoption of anaerobic digesters (%)",NA,NA,NA,NA
"177","Low potential","CENTRAL-AMERICA","N.Central-America","NCA","Pigs","Humid","Herd","System","Reduced embodied feed emissions",NA,NA,NA,NA
"178","Low potential","CENTRAL-AMERICA","N.Central-America","NCA","Pigs","Humid","Herd","Manure","Adoption of anaerobic digesters (%)",NA,NA,NA,NA
"179","Low potential","CENTRAL-AMERICA","N.Central-America","NCA","Pigs","Temperate","Herd","System","Reduced embodied feed emissions",NA,NA,NA,NA
"180","Low potential","CENTRAL-AMERICA","N.Central-America","NCA","Pigs","Temperate","Herd","Manure","Adoption of anaerobic digesters (%)",NA,NA,NA,NA
"181","Low potential","EUROPE","N.Europe","NEU","Mixed dairy","Arid","Herd","System","Reduced embodied feed emissions",NA,NA,NA,NA
"182","Low potential","EUROPE","N.Europe","NEU","Mixed dairy","Arid","Herd","Manure","Adoption of anaerobic digesters (%)",NA,NA,NA,NA
"183","Low potential","EUROPE","N.Europe","NEU","Mixed dairy","Humid","Herd","System","Reduced embodied feed emissions",NA,NA,NA,NA
"184","Low potential","EUROPE","N.Europe","NEU","Mixed dairy","Humid","Herd","Manure","Adoption of anaerobic digesters (%)",NA,NA,NA,NA
"185","Low potential","EUROPE","N.Europe","NEU","Mixed dairy","Temperate","Herd","System","Reduced embodied feed emissions",NA,NA,NA,NA
"186","Low potential","EUROPE","N.Europe","NEU","Mixed dairy","Temperate","Herd","Manure","Adoption of anaerobic digesters (%)",NA,NA,NA,NA
