,Group,Continent,Name,Acronym,System,Climate,Animal_class,GLEAM_module,Intervention,Baseline,Scenario_lower,Scenario_lower.1,Notes
24,High potential,CENTRAL-AMERICA,S.Central-America,SCA,Mixed dairy,Temperate,Herd,Manure,Adoption of anaerobic digesters (%),NA,NA,NA,
25,High potential,CENTRAL-AMERICA,S.Central-America,SCA,Specialised beef,Arid,Herd,Feed,Increase average Digestible Energy (%),NA,NA,NA,DE scenario is 1-3% improvement per pixel
26,High potential,CENTRAL-AMERICA,S.Central-America,SCA,Specialised beef,Arid,Milk cows,Herd,Reduce age at first calving,NA,NA,NA,Assumed 1% increase in digestibility will result in 4% decrease in age at first calving
27,High potential,CENTRAL-AMERICA,S.Central-America,SCA,Specialised beef,Arid,Herd,Herd,Increased fertility rate (%),NA,NA,NA,
28,High potential,CENTRAL-AMERICA,S.Central-America,SCA,Specialised beef,Arid,Female calves,Herd,Mortality rate (%),NA,NA,NA,
29,High potential,CENTRAL-AMERICA,S.Central-America,SCA,Specialised beef,Arid,Male calves,Herd,Mortality rate (%),NA,NA,NA,
30,High potential,CENTRAL-AMERICA,S.Central-America,SCA,Specialised beef,Arid,Non-calf,Herd,Mortality rate (%),NA,NA,NA,
31,High potential,CENTRAL-AMERICA,S.Central-America,SCA,Specialised beef,Humid,Herd,Feed,Increase average Digestible Energy (%),NA,NA,NA,DE scenario is 1-3% improvement per pixel
32,High potential,CENTRAL-AMERICA,S.Central-America,SCA,Specialised beef,Humid,Milk cows,Herd,Reduce age at first calving,NA,NA,NA,Assumed 1% increase in digestibility will result in 4% decrease in age at first calving
33,High potential,CENTRAL-AMERICA,S.Central-America,SCA,Specialised beef,Humid,Herd,Herd,Increased fertility rate (%),NA,NA,NA,
34,High potential,CENTRAL-AMERICA,S.Central-America,SCA,Specialised beef,Humid,Female calves,Herd,Mortality rate (%),NA,NA,NA,
35,High potential,CENTRAL-AMERICA,S.Central-America,SCA,Specialised beef,Humid,Male calves,Herd,Mortality rate (%),NA,NA,NA,
36,High potential,CENTRAL-AMERICA,S.Central-America,SCA,Specialised beef,Humid,Non-calf,Herd,Mortality rate (%),NA,NA,NA,
37,High potential,CENTRAL-AMERICA,S.Central-America,SCA,Specialised beef,Humid,Herd,Manure,Adoption of anaerobic digesters (%),NA,NA,NA,
38,High potential,CENTRAL-AMERICA,S.Central-America,SCA,Specialised beef,Temperate,Herd,Feed,Increase average Digestible Energy (%),NA,NA,NA,DE scenario is 1-3% improvement per pixel
39,High potential,CENTRAL-AMERICA,S.Central-America,SCA,Specialised beef,Temperate,Milk cows,Herd,Reduce age at first calving,NA,NA,NA,Assumed 1% increase in digestibility will result in 4% decrease in age at first calving
40,High potential,CENTRAL-AMERICA,S.Central-America,SCA,Specialised beef,Temperate,Herd,Herd,Increased fertility rate (%),NA,NA,NA,
41,High potential,CENTRAL-AMERICA,S.Central-America,SCA,Specialised beef,Temperate,Female calves,Herd,Mortality rate (%),NA,NA,NA,
42,High potential,CENTRAL-AMERICA,S.Central-America,SCA,Specialised beef,Temperate,Male calves,Herd,Mortality rate (%),NA,NA,NA,
43,High potential,CENTRAL-AMERICA,S.Central-America,SCA,Specialised beef,Temperate,Non-calf,Herd,Mortality rate (%),NA,NA,NA,
44,High potential,CENTRAL-AMERICA,S.Central-America,SCA,Specialised beef,Temperate,Herd,Manure,Adoption of anaerobic digesters (%),NA,NA,NA,
45,High potential,CENTRAL-AMERICA,S.Central-America,SCA,Sheep,Arid,Herd,Feed,Increase average Digestible Energy (%),NA,NA,NA,DE scenario is 1-3% improvement per pixel
46,High potential,CENTRAL-AMERICA,S.Central-America,SCA,Sheep,Arid,Sheep,Herd,Reduce age at first lambing,NA,NA,NA,Assumed 1% increase in digestibility will result in 4% decrease in age at first calving
47,High potential,CENTRAL-AMERICA,S.Central-America,SCA,Sheep,Arid,Sheep,Herd,Increased fertility rate (%),NA,NA,NA,
48,High potential,CENTRAL-AMERICA,S.Central-America,SCA,Sheep,Arid,Female lambs,Herd,Mortality rate (%),NA,NA,NA,
49,High potential,CENTRAL-AMERICA,S.Central-America,SCA,Sheep,Arid,Male lambs,Herd,Mortality rate (%),NA,NA,NA,
50,High potential,CENTRAL-AMERICA,S.Central-America,SCA,Sheep,Arid,Non-lamb,Herd,Mortality rate (%),NA,NA,NA,
51,High potential,CENTRAL-AMERICA,S.Central-America,SCA,Sheep,Humid,Herd,Feed,Increase average Digestible Energy (%),NA,NA,NA,DE scenario is 1-3% improvement per pixel
52,High potential,CENTRAL-AMERICA,S.Central-America,SCA,Sheep,Humid,Sheep,Herd,Reduce age at first lambing,NA,NA,NA,Assumed 1% increase in digestibility will result in 4% decrease in age at first calving
53,High potential,CENTRAL-AMERICA,S.Central-America,SCA,Sheep,Humid,Sheep,Herd,Increased fertility rate (%),NA,NA,NA,
54,High potential,CENTRAL-AMERICA,S.Central-America,SCA,Sheep,Humid,Female lambs,Herd,Mortality rate (%),NA,NA,NA,
55,High potential,CENTRAL-AMERICA,S.Central-America,SCA,Sheep,Humid,Male lambs,Herd,Mortality rate (%),NA,NA,NA,
56,High potential,CENTRAL-AMERICA,S.Central-America,SCA,Sheep,Humid,Non-lamb,Herd,Mortality rate (%),NA,NA,NA,
57,High potential,CENTRAL-AMERICA,S.Central-America,SCA,Sheep,Temperate,Herd,Feed,Increase average Digestible Energy (%),NA,NA,NA,
58,High potential,CENTRAL-AMERICA,S.Central-America,SCA,Sheep,Temperate,Sheep,Herd,Reduce age at first lambing,NA,NA,NA,
59,High potential,CENTRAL-AMERICA,S.Central-America,SCA,Sheep,Temperate,Sheep,Herd,Increased fertility rate (%),NA,NA,NA,
60,High potential,CENTRAL-AMERICA,S.Central-America,SCA,Sheep,Temperate,Female lambs,Herd,Mortality rate (%),NA,NA,NA,
61,High potential,CENTRAL-AMERICA,S.Central-America,SCA,Sheep,Temperate,Male lambs,Herd,Mortality rate (%),NA,NA,NA,
62,High potential,CENTRAL-AMERICA,S.Central-America,SCA,Sheep,Temperate,Non-lamb,Herd,Mortality rate (%),NA,NA,NA,
63,High potential,CENTRAL-AMERICA,S.Central-America,SCA,Goats,Arid,Herd,Feed,Increase average Digestible Energy (%),NA,NA,NA,
64,High potential,CENTRAL-AMERICA,S.Central-America,SCA,Goats,Arid,Does,Herd,Reduce age at first lambing,NA,NA,NA,
65,High potential,CENTRAL-AMERICA,S.Central-America,SCA,Goats,Arid,Does,Herd,Increased fertility rate (%),NA,NA,NA,
66,High potential,CENTRAL-AMERICA,S.Central-America,SCA,Goats,Arid,Female kids,Herd,Mortality rate (%),NA,NA,NA,
67,High potential,CENTRAL-AMERICA,S.Central-America,SCA,Goats,Arid,Male kids,Herd,Mortality rate (%),NA,NA,NA,
68,High potential,CENTRAL-AMERICA,S.Central-America,SCA,Goats,Arid,Non-kid,Herd,Mortality rate (%),NA,NA,NA,
69,High potential,CENTRAL-AMERICA,S.Central-America,SCA,Goats,Humid,Herd,Feed,Increase average Digestible Energy (%),NA,NA,NA,
70,High potential,CENTRAL-AMERICA,S.Central-America,SCA,Goats,Humid,Does,Herd,Reduce age at first lambing,NA,NA,NA,
71,High potential,CENTRAL-AMERICA,S.Central-America,SCA,Goats,Humid,Does,Herd,Increased fertility rate (%),NA,NA,NA,
72,High potential,CENTRAL-AMERICA,S.Central-America,SCA,Goats,Humid,Female kids,Herd,Mortality rate (%),NA,NA,NA,
73,High potential,CENTRAL-AMERICA,S.Central-America,SCA,Goats,Humid,Male kids,Herd,Mortality rate (%),NA,NA,NA,
74,High potential,CENTRAL-AMERICA,S.Central-America,SCA,Goats,Humid,Non-kid,Herd,Mortality rate (%),NA,NA,NA,
75,High potential,CENTRAL-AMERICA,S.Central-America,SCA,Goats,Temperate,Herd,Feed,Increase average Digestible Energy (%),NA,NA,NA,
76,High potential,CENTRAL-AMERICA,S.Central-America,SCA,Goats,Temperate,Does,Herd,Reduce age at first lambing,NA,NA,NA,
77,High potential,CENTRAL-AMERICA,S.Central-America,SCA,Goats,Temperate,Does,Herd,Increased fertility rate (%),NA,NA,NA,
78,High potential,CENTRAL-AMERICA,S.Central-America,SCA,Goats,Temperate,Female kids,Herd,Mortality rate (%),NA,NA,NA,
79,High potential,CENTRAL-AMERICA,S.Central-America,SCA,Goats,Temperate,Male kids,Herd,Mortality rate (%),NA,NA,NA,
80,High potential,CENTRAL-AMERICA,S.Central-America,SCA,Goats,Temperate,Non-kid,Herd,Mortality rate (%),NA,NA,NA,
81,High potential,CENTRAL-AMERICA,S.Central-America,SCA,Pigs,Arid,Herd,Feed,Increase average Digestible Energy (%),NA,NA,NA,
82,High potential,CENTRAL-AMERICA,S.Central-America,SCA,Pigs,Arid,Herd,Feed,Feed N content (g N/kg DM),NA,NA,NA,Increased by 50% of difference with 90th%ile in each region or agro-ecological zone
83,High potential,CENTRAL-AMERICA,S.Central-America,SCA,Pigs,Arid,Herd,Feed,Feed available energy (kJ/kg DM),NA,NA,NA,Increased by 50% of difference with 90th%ile in each region or agro-ecological zone
84,High potential,CENTRAL-AMERICA,S.Central-America,SCA,Pigs,Arid,Herd,Feed,Feed digestible energy (kJ/ kg DM),NA,NA,NA,Increased by 50% of difference with 90th%ile in each region or agro-ecological zone
85,High potential,CENTRAL-AMERICA,S.Central-America,SCA,Pigs,Arid,Herd,Feed,Feed metabolizable energy (kJ/ kg DM),NA,NA,NA,Increased by 50% of difference with 90th%ile in each region or agro-ecological zone
86,High potential,CENTRAL-AMERICA,S.Central-America,SCA,Pigs,Arid,Herd,Feed,Feed Ei (kg CO2-eq/kg DM),NA,NA,NA,Increased by 50% of difference with 90th%ile in each region or agro-ecological zone
87,High potential,CENTRAL-AMERICA,S.Central-America,SCA,Pigs,Arid,Sow,Herd,Reduce age at first sowing,NA,NA,NA,
88,High potential,CENTRAL-AMERICA,S.Central-America,SCA,Pigs,Arid,piglet,Herd,Reduced weaning age,NA,NA,NA,
89,High potential,CENTRAL-AMERICA,S.Central-America,SCA,Pigs,Arid,Female piglet,Herd,Mortality rate (%),NA,NA,NA,
90,High potential,CENTRAL-AMERICA,S.Central-America,SCA,Pigs,Arid,Male piglet,Herd,Mortality rate (%),NA,NA,NA,
91,High potential,CENTRAL-AMERICA,S.Central-America,SCA,Pigs,Arid,Replacement,Herd,Mortality rate (%),NA,NA,NA,
92,High potential,CENTRAL-AMERICA,S.Central-America,SCA,Pigs,Arid,Fattening,Herd,Mortality rate (%),NA,NA,NA,
93,High potential,CENTRAL-AMERICA,S.Central-America,SCA,Pigs,Arid,Herd,Manure,Adoption of anaerobic digesters (%),NA,NA,NA,
94,High potential,CENTRAL-AMERICA,S.Central-America,SCA,Pigs,Humid,Herd,Feed,Increase average Digestible Energy (%),NA,NA,NA,
95,High potential,CENTRAL-AMERICA,S.Central-America,SCA,Pigs,Humid,Herd,Feed,Feed N content (g N/kg DM),NA,NA,NA,Increased by 50% of difference with 90th%ile in each region or agro-ecological zone
96,High potential,CENTRAL-AMERICA,S.Central-America,SCA,Pigs,Humid,Herd,Feed,Feed available energy (kJ/kg DM),NA,NA,NA,Increased by 50% of difference with 90th%ile in each region or agro-ecological zone
97,High potential,CENTRAL-AMERICA,S.Central-America,SCA,Pigs,Humid,Herd,Feed,Feed digestible energy (kJ/ kg DM),NA,NA,NA,Increased by 50% of difference with 90th%ile in each region or agro-ecological zone
98,High potential,CENTRAL-AMERICA,S.Central-America,SCA,Pigs,Humid,Herd,Feed,Feed metabolizable energy (kJ/ kg DM),NA,NA,NA,Increased by 50% of difference with 90th%ile in each region or agro-ecological zone
99,High potential,CENTRAL-AMERICA,S.Central-America,SCA,Pigs,Humid,Herd,Feed,Feed Ei (kg CO2-eq/kg DM),NA,NA,NA,Increased by 50% of difference with 90th%ile in each region or agro-ecological zone
100,High potential,CENTRAL-AMERICA,S.Central-America,SCA,Pigs,Humid,Sow,Herd,Reduce age at first sowing,NA,NA,NA,
101,High potential,CENTRAL-AMERICA,S.Central-America,SCA,Pigs,Humid,piglet,Herd,Reduced weaning age,NA,NA,NA,
102,High potential,CENTRAL-AMERICA,S.Central-America,SCA,Pigs,Humid,Female piglet,Herd,Mortality rate (%),NA,NA,NA,
103,High potential,CENTRAL-AMERICA,S.Central-America,SCA,Pigs,Humid,Male piglet,Herd,Mortality rate (%),NA,NA,NA,
104,High potential,CENTRAL-AMERICA,S.Central-America,SCA,Pigs,Humid,Replacement,Herd,Mortality rate (%),NA,NA,NA,
105,High potential,CENTRAL-AMERICA,S.Central-America,SCA,Pigs,Humid,Fattening,Herd,Mortality rate (%),NA,NA,NA,
106,High potential,CENTRAL-AMERICA,S.Central-America,SCA,Pigs,Humid,Herd,Manure,Adoption of anaerobic digesters (%),NA,NA,NA,
107,High potential,CENTRAL-AMERICA,S.Central-America,SCA,Pigs,Temperate,Herd,Feed,Increase average Digestible Energy (%),NA,NA,NA,
108,High potential,CENTRAL-AMERICA,S.Central-America,SCA,Pigs,Temperate,Herd,Feed,Feed N content (g N/kg DM),NA,NA,NA,Increased by 50% of difference with 90th%ile in each region or agro-ecological zone
109,High potential,CENTRAL-AMERICA,S.Central-America,SCA,Pigs,Temperate,Herd,Feed,Feed available energy (kJ/kg DM),NA,NA,NA,Increased by 50% of difference with 90th%ile in each region or agro-ecological zone
110,High potential,CENTRAL-AMERICA,S.Central-America,SCA,Pigs,Temperate,Herd,Feed,Feed digestible energy (kJ/ kg DM),NA,NA,NA,Increased by 50% of difference with 90th%ile in each region or agro-ecological zone
111,High potential,CENTRAL-AMERICA,S.Central-America,SCA,Pigs,Temperate,Herd,Feed,Feed metabolizable energy (kJ/ kg DM),NA,NA,NA,Increased by 50% of difference with 90th%ile in each region or agro-ecological zone
112,High potential,CENTRAL-AMERICA,S.Central-America,SCA,Pigs,Temperate,Herd,Feed,Feed Ei (kg CO2-eq/kg DM),NA,NA,NA,Increased by 50% of difference with 90th%ile in each region or agro-ecological zone
113,High potential,CENTRAL-AMERICA,S.Central-America,SCA,Pigs,Temperate,Sow,Herd,Reduce age at first sowing,NA,NA,NA,
114,High potential,CENTRAL-AMERICA,S.Central-America,SCA,Pigs,Temperate,piglet,Herd,Reduced weaning age,NA,NA,NA,
115,High potential,CENTRAL-AMERICA,S.Central-America,SCA,Pigs,Temperate,Female piglet,Herd,Mortality rate (%),NA,NA,NA,
116,High potential,CENTRAL-AMERICA,S.Central-America,SCA,Pigs,Temperate,Male piglet,Herd,Mortality rate (%),NA,NA,NA,
117,High potential,CENTRAL-AMERICA,S.Central-America,SCA,Pigs,Temperate,Replacement,Herd,Mortality rate (%),NA,NA,NA,
118,High potential,CENTRAL-AMERICA,S.Central-America,SCA,Pigs,Temperate,Fattening,Herd,Mortality rate (%),NA,NA,NA,
119,High potential,CENTRAL-AMERICA,S.Central-America,SCA,Pigs,Temperate,Herd,Manure,Adoption of anaerobic digesters (%),NA,NA,NA,
120,High potential,CENTRAL-AMERICA,Caribbean,CAR,Mixed dairy,Arid,Milk cows,Feed,Increase average Digestible Energy (%),NA,NA,NA,DE scenario is 1-3% improvement per pixel
121,High potential,CENTRAL-AMERICA,Caribbean,CAR,Mixed dairy,Arid,Milk cows,Herd,Reduce age at first calving,NA,NA,NA,Assumed 1% increase in digestibility will result in 4% decrease in age at first calving
122,High potential,CENTRAL-AMERICA,Caribbean,CAR,Mixed dairy,Arid,Herd,Herd,Reduce replacement rate (%),NA,NA,NA,
123,High potential,CENTRAL-AMERICA,Caribbean,CAR,Mixed dairy,Arid,Herd,Herd,Increase female to male ratio,NA,NA,NA,
124,High potential,CENTRAL-AMERICA,Caribbean,CAR,Mixed dairy,Arid,Female calves,Herd,Mortality rate (%),NA,NA,NA,
125,High potential,CENTRAL-AMERICA,Caribbean,CAR,Mixed dairy,Arid,Male calves,Herd,Mortality rate (%),NA,NA,NA,
126,High potential,CENTRAL-AMERICA,Caribbean,CAR,Mixed dairy,Arid,Non-calf,Herd,Mortality rate (%),NA,NA,NA,
127,High potential,CENTRAL-AMERICA,Caribbean,CAR,Mixed dairy,Arid,Herd,Manure,Adoption of anaerobic digesters (%),NA,NA,NA,
128,High potential,CENTRAL-AMERICA,Caribbean,CAR,Mixed dairy,Humid,Milk cows,Feed,Increase average Digestible Energy (%),NA,NA,NA,DE scenario is 1-3% improvement per pixel
129,High potential,CENTRAL-AMERICA,Caribbean,CAR,Mixed dairy,Humid,Milk cows,Herd,Reduce age at first calving,NA,NA,NA,Assumed 1% increase in digestibility will result in 4% decrease in age at first calving
130,High potential,CENTRAL-AMERICA,Caribbean,CAR,Mixed dairy,Humid,Herd,Herd,Reduce replacement rate (%),NA,NA,NA,
131,High potential,CENTRAL-AMERICA,Caribbean,CAR,Mixed dairy,Humid,Herd,Herd,Increase female to male ratio,NA,NA,NA,
132,High potential,CENTRAL-AMERICA,Caribbean,CAR,Mixed dairy,Humid,Female calves,Herd,Mortality rate (%),NA,NA,NA,
133,High potential,CENTRAL-AMERICA,Caribbean,CAR,Mixed dairy,Humid,Male calves,Herd,Mortality rate (%),NA,NA,NA,
134,High potential,CENTRAL-AMERICA,Caribbean,CAR,Mixed dairy,Humid,Non-calf,Herd,Mortality rate (%),NA,NA,NA,
135,High potential,CENTRAL-AMERICA,Caribbean,CAR,Mixed dairy,Humid,Herd,Manure,Adoption of anaerobic digesters (%),NA,NA,NA,
136,High potential,CENTRAL-AMERICA,Caribbean,CAR,Mixed dairy,Temperate,Milk cows,Feed,Increase average Digestible Energy (%),NA,NA,NA,DE scenario is 1-3% improvement per pixel
137,High potential,CENTRAL-AMERICA,Caribbean,CAR,Mixed dairy,Temperate,Milk cows,Herd,Reduce age at first calving,NA,NA,NA,Assumed 1% increase in digestibility will result in 4% decrease in age at first calving
138,High potential,CENTRAL-AMERICA,Caribbean,CAR,Mixed dairy,Temperate,Herd,Herd,Reduce replacement rate (%),NA,NA,NA,
139,High potential,CENTRAL-AMERICA,Caribbean,CAR,Mixed dairy,Temperate,Herd,Herd,Increase female to male ratio,NA,NA,NA,
140,High potential,CENTRAL-AMERICA,Caribbean,CAR,Mixed dairy,Temperate,Female calves,Herd,Mortality rate (%),NA,NA,NA,
141,High potential,CENTRAL-AMERICA,Caribbean,CAR,Mixed dairy,Temperate,Male calves,Herd,Mortality rate (%),NA,NA,NA,
142,High potential,CENTRAL-AMERICA,Caribbean,CAR,Mixed dairy,Temperate,Non-calf,Herd,Mortality rate (%),NA,NA,NA,
143,High potential,CENTRAL-AMERICA,Caribbean,CAR,Mixed dairy,Temperate,Herd,Manure,Adoption of anaerobic digesters (%),NA,NA,NA,
144,High potential,CENTRAL-AMERICA,Caribbean,CAR,Specialised beef,Arid,Herd,Feed,Increase average Digestible Energy (%),NA,NA,NA,DE scenario is 1-3% improvement per pixel
145,High potential,CENTRAL-AMERICA,Caribbean,CAR,Specialised beef,Arid,Milk cows,Herd,Reduce age at first calving,NA,NA,NA,Assumed 1% increase in digestibility will result in 4% decrease in age at first calving
146,High potential,CENTRAL-AMERICA,Caribbean,CAR,Specialised beef,Arid,Herd,Herd,Increased fertility rate (%),NA,NA,NA,
147,High potential,CENTRAL-AMERICA,Caribbean,CAR,Specialised beef,Arid,Female calves,Herd,Mortality rate (%),NA,NA,NA,
148,High potential,CENTRAL-AMERICA,Caribbean,CAR,Specialised beef,Arid,Male calves,Herd,Mortality rate (%),NA,NA,NA,
149,High potential,CENTRAL-AMERICA,Caribbean,CAR,Specialised beef,Arid,Non-calf,Herd,Mortality rate (%),NA,NA,NA,
150,High potential,CENTRAL-AMERICA,Caribbean,CAR,Specialised beef,Humid,Herd,Feed,Increase average Digestible Energy (%),NA,NA,NA,DE scenario is 1-3% improvement per pixel
151,High potential,CENTRAL-AMERICA,Caribbean,CAR,Specialised beef,Humid,Milk cows,Herd,Reduce age at first calving,NA,NA,NA,Assumed 1% increase in digestibility will result in 4% decrease in age at first calving
152,High potential,CENTRAL-AMERICA,Caribbean,CAR,Specialised beef,Humid,Herd,Herd,Increased fertility rate (%),NA,NA,NA,
153,High potential,CENTRAL-AMERICA,Caribbean,CAR,Specialised beef,Humid,Female calves,Herd,Mortality rate (%),NA,NA,NA,
154,High potential,CENTRAL-AMERICA,Caribbean,CAR,Specialised beef,Humid,Male calves,Herd,Mortality rate (%),NA,NA,NA,
155,High potential,CENTRAL-AMERICA,Caribbean,CAR,Specialised beef,Humid,Non-calf,Herd,Mortality rate (%),NA,NA,NA,
156,High potential,CENTRAL-AMERICA,Caribbean,CAR,Specialised beef,Humid,Herd,Manure,Adoption of anaerobic digesters (%),NA,NA,NA,
157,High potential,CENTRAL-AMERICA,Caribbean,CAR,Specialised beef,Temperate,Herd,Feed,Increase average Digestible Energy (%),NA,NA,NA,DE scenario is 1-3% improvement per pixel
158,High potential,CENTRAL-AMERICA,Caribbean,CAR,Specialised beef,Temperate,Milk cows,Herd,Reduce age at first calving,NA,NA,NA,Assumed 1% increase in digestibility will result in 4% decrease in age at first calving
159,High potential,CENTRAL-AMERICA,Caribbean,CAR,Specialised beef,Temperate,Herd,Herd,Increased fertility rate (%),NA,NA,NA,
160,High potential,CENTRAL-AMERICA,Caribbean,CAR,Specialised beef,Temperate,Female calves,Herd,Mortality rate (%),NA,NA,NA,
161,High potential,CENTRAL-AMERICA,Caribbean,CAR,Specialised beef,Temperate,Male calves,Herd,Mortality rate (%),NA,NA,NA,
162,High potential,CENTRAL-AMERICA,Caribbean,CAR,Specialised beef,Temperate,Non-calf,Herd,Mortality rate (%),NA,NA,NA,
163,High potential,CENTRAL-AMERICA,Caribbean,CAR,Specialised beef,Temperate,Herd,Manure,Adoption of anaerobic digesters (%),NA,NA,NA,
164,High potential,CENTRAL-AMERICA,Caribbean,CAR,Sheep,Arid,Herd,Feed,Increase average Digestible Energy (%),NA,NA,NA,DE scenario is 1-3% improvement per pixel
165,High potential,CENTRAL-AMERICA,Caribbean,CAR,Sheep,Arid,Sheep,Herd,Reduce age at first lambing,NA,NA,NA,Assumed 1% increase in digestibility will result in 4% decrease in age at first calving
166,High potential,CENTRAL-AMERICA,Caribbean,CAR,Sheep,Arid,Sheep,Herd,Increased fertility rate (%),NA,NA,NA,
167,High potential,CENTRAL-AMERICA,Caribbean,CAR,Sheep,Arid,Female lambs,Herd,Mortality rate (%),NA,NA,NA,
168,High potential,CENTRAL-AMERICA,Caribbean,CAR,Sheep,Arid,Male lambs,Herd,Mortality rate (%),NA,NA,NA,
169,High potential,CENTRAL-AMERICA,Caribbean,CAR,Sheep,Arid,Non-lamb,Herd,Mortality rate (%),NA,NA,NA,
170,High potential,CENTRAL-AMERICA,Caribbean,CAR,Sheep,Humid,Herd,Feed,Increase average Digestible Energy (%),NA,NA,NA,DE scenario is 1-3% improvement per pixel
171,High potential,CENTRAL-AMERICA,Caribbean,CAR,Sheep,Humid,Sheep,Herd,Reduce age at first lambing,NA,NA,NA,Assumed 1% increase in digestibility will result in 4% decrease in age at first calving
172,High potential,CENTRAL-AMERICA,Caribbean,CAR,Sheep,Humid,Sheep,Herd,Increased fertility rate (%),NA,NA,NA,
173,High potential,CENTRAL-AMERICA,Caribbean,CAR,Sheep,Humid,Female lambs,Herd,Mortality rate (%),NA,NA,NA,
174,High potential,CENTRAL-AMERICA,Caribbean,CAR,Sheep,Humid,Male lambs,Herd,Mortality rate (%),NA,NA,NA,
175,High potential,CENTRAL-AMERICA,Caribbean,CAR,Sheep,Humid,Non-lamb,Herd,Mortality rate (%),NA,NA,NA,
176,High potential,CENTRAL-AMERICA,Caribbean,CAR,Sheep,Temperate,Herd,Feed,Increase average Digestible Energy (%),NA,NA,NA,
177,High potential,CENTRAL-AMERICA,Caribbean,CAR,Sheep,Temperate,Sheep,Herd,Reduce age at first lambing,NA,NA,NA,
178,High potential,CENTRAL-AMERICA,Caribbean,CAR,Sheep,Temperate,Sheep,Herd,Increased fertility rate (%),NA,NA,NA,
179,High potential,CENTRAL-AMERICA,Caribbean,CAR,Sheep,Temperate,Female lambs,Herd,Mortality rate (%),NA,NA,NA,
